Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_628.jpg;-11.99453;0;0;-0.06665011;112.7523;151.5797;0.7816597;71.66106;0.2505291
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_695.jpg;-9.006058;0;0;-0.05361094;112.7524;151.5783;0.9354408;69.3074;0.2663389
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_762.jpg;-6.01337;0;0;-0.04166984;112.7522;151.5764;0.9548147;68.14653;0.2077245
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_828.jpg;-2.996297;0;0;-0.03793185;112.7515;151.5745;0.9294058;67.43231;0.129339
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_895.jpg;-0.01982186;0;0;-0.03556757;112.7502;151.5717;0.8663;67.25269;0.02302844
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_12_961.jpg;0;0;0;-0.03398713;112.7491;151.5692;0.7953742;67.25327;359.9488
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_027.jpg;0;0;0;-0.03166026;112.7479;151.5665;0.7088407;67.25369;359.8823
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_094.jpg;0;-0.1037875;0;-0.02987402;112.7462;151.5626;0.5768989;67.25286;359.8065
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_161.jpg;0;-0.3011143;0;-0.02747154;112.7445;151.5586;0.4460348;67.22436;359.7602
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_227.jpg;0;-0.5006399;0;-0.06037946;112.7418;151.5525;0.268369;67.10381;359.7237
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_294.jpg;0;-0.6997455;0;-0.09917034;112.7369;151.5411;359.9662;67.01463;359.6872
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_361.jpg;0;-0.9000446;0;-0.1125385;112.732;151.5298;359.6975;66.73174;359.6695
C:\Users\alfredo.nunes\Documents\Personales\Master\Udacity_Robotics\RoboND-Rover-Project_EditedAJNR\CameraData\IMG\robocam_2018_05_02_20_40_13_428.jpg;0;-1;0;-0.1804985;112.7252;151.515;359.3879;66.6292;359.6964
